threshold,phishing_precision,phishing_recall,f1,missed_phishing,blocked_legitimate
0.2,0.8536369666150785,0.9902539112592973,0.9168843505105676,38,662
0.25,0.8738882554161915,0.9828161066940241,0.9251569290197972,67,553
0.3,0.8989851309889072,0.976917158245704,0.9363323500491643,90,428
0.35,0.9128751210067764,0.9674275455244935,0.9393599800772009,127,360
0.39999999999999997,0.9257609502598366,0.9594767889202359,0.9423173803526448,158,300
0.44999999999999996,0.9374369323915237,0.9530648884329315,0.9451863156556022,183,248
0.49999999999999994,0.9497552177273898,0.9453706078481662,0.9475578406169666,213,195
0.5499999999999999,0.9576359832635983,0.9392151833803539,0.9483361388061634,237,162
0.5999999999999999,0.966979865771812,0.9238266222108232,0.9449108079748164,297,123
0.6499999999999999,0.9740224227508887,0.9135675814311361,0.9428268925357332,337,95
0.7,0.9837807606263982,0.9022826365734804,0.9412709030100335,381,58
0.7499999999999998,0.9873454127121082,0.8804821749166453,0.9308568329718004,466,44
0.7999999999999998,0.989330171902786,0.8561169530648884,0.9179155781658188,561,36
