threshold,precision_phishing,recall_phishing,f1_phishing,phishing_missed,legitimate_blocked
0.20,0.9161,0.9865,0.9500,53,354
0.25,0.9314,0.9811,0.9556,74,283
0.30,0.9431,0.9773,0.9599,89,231
0.35,0.9538,0.9745,0.9640,100,185
0.40,0.9608,0.9704,0.9656,116,155
0.45,0.9653,0.9655,0.9654,135,136
0.50,0.9733,0.9597,0.9665,158,103
0.55,0.9779,0.9505,0.9640,194,84
0.60,0.9817,0.9436,0.9623,221,69
0.65,0.9855,0.9342,0.9591,258,54
0.70,0.9882,0.9214,0.9536,308,43
0.75,0.9903,0.9102,0.9485,352,35
0.80,0.9949,0.8931,0.9412,419,18
